,ip,nb_www,nb_com,nb_dslash,http_in_path,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,nb_extCSS,ratio_extRedirection,ratio_extErrors,login_form,external_favicon,ratio_intMedia,ratio_extMedia,popup_window,safe_anchor,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,len_url,len_hostname,qty_points,qty_hyphen,qty_at_sign,qty_question_mark,qty_ampersand,qty_equal_sign,qty_underscore,qty_porcentage,qty_back_slash,qty_colon,qty_comma,qty_semicolon,qty_dollar_sign,is_https,numbers_url_ratio,numbers_hostname_ratio
3297,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,7,0,3,10,3,22,22,10,9.857142857,16.0,7.4,0,0,0,0,0,89,0.606741573,0.393258427,1,0.028571429,0.028571429,0,1,6.666666667,93.33333333,0,74.35897436,0,1,0,0,131,7617,2187,0,1,5,86,37,2,3,0,0,0,0,0,0,4,1,0,0,0,0,0.0,0.0
1128,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,5,4,3,3,3,15,15,8,6.6,9.0,5.0,0,0,0,0,0,140,0.971428571,0.028571429,0,0.75,0.0,0,0,0.0,0.0,0,66.66666667,0,1,0,0,165,7506,1644193,0,0,4,49,23,2,1,0,0,0,0,0,0,5,1,0,0,0,0,0.0,0.0
1141,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,3,3,0,12,12,0,7.5,7.5,0.0,0,0,0,0,0,251,0.756972112,0.243027888,3,0.31147541,0.016393443,1,1,12.5,87.5,0,2.380952381,0,1,1,0,154,8611,496378,0,0,3,28,20,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0.0,0.0
9723,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,3,3,0,12,12,0,7.5,7.5,0.0,0,0,0,0,0,54,0.722222222,0.277777778,3,0.0,0.0,0,1,85.71428571,14.28571429,0,100.0,0,1,0,0,362,734,3941699,0,0,2,28,20,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0.0,0.0
1589,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,25,6,25,25,6,15.5,25.0,6.0,0,0,0,0,0,1,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,1,0,0,79,286,0,0,0,0,42,28,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0.0,0.0
2553,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,8,2,14,2,14,14,7,5.555555556,14.0,4.5,0,0,0,0,0,1,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,1,0,0,305,59,0,0,1,0,70,18,3,0,1,1,0,1,0,0,5,1,0,0,0,1,0.0,0.0
5764,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,7,1,2,15,2,15,15,11,7.0,15.0,5.666666667,2,0,0,0,0,4,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,100.0,0,1,0,0,0,2455,0,0,1,0,66,18,2,1,0,0,0,0,0,0,6,1,0,0,0,1,0.0,0.0
5745,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,3,3,4,10,10,5,5.5,6.5,4.5,0,0,0,0,0,230,0.773913043,0.226086957,1,0.038461538,0.0,0,1,57.31707317,42.68292683,0,38.0952381,0,0,1,0,2417,7810,29611,0,0,4,36,18,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0.0,0.0
1764,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,8,2,10,10,6,6.5,9.0,4.0,0,0,0,0,0,116,0.879310345,0.120689655,0,0.214285714,0.071428571,0,1,83.33333333,16.66666667,0,0.0,0,0,0,0,333,6606,899,0,1,5,42,23,2,0,0,0,0,0,0,0,5,1,0,0,0,1,0.023809523809523808,0.0
398,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,5,9,5,9,9,5,7.0,9.0,5.0,0,0,0,0,0,10,0.1,0.9,1,0.0,0.0,0,1,0.0,0.0,0,0.0,0,1,0,0,127,968,957082,0,1,6,27,13,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0.037037037037037035,0.0
3975,1,0,1,0,0,0,0,0,1,0,3,1,0,0,0,12,3,2,3,2,17,13,17,8.25,8.4,8.142857143,0,0,0,0,0,51,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0,100.0,0,1,1,0,25,3993,5707171,0,1,0,125,50,4,1,0,1,2,3,2,0,4,1,0,0,0,1,0.144,0.0
10959,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5,0,5,5,0,11,11,0,7.8,7.8,0.0,0,0,0,0,0,68,0.955882353,0.044117647,0,0.0,0.0,0,0,100.0,0.0,0,0.0,0,1,1,0,584,8181,178077,0,1,4,55,47,3,2,0,0,0,0,0,0,3,1,0,0,0,0,0.0,0.0
5898,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,15,15,3,3,3,288,6,288,27.6,4.5,31.15384615,0,0,0,0,2,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,0,0,1063,-1,0,0,1,0,439,14,3,2,0,1,0,0,0,0,11,1,0,0,0,0,0.4806378132118451,0.14285714285714285
1096,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3,3,3,0,15,15,0,9.0,9.0,0.0,0,0,0,0,0,293,0.395904437,0.604095563,3,0.0,0.011299435,0,1,49.65034965,50.34965035,0,8.045977011,0,1,1,0,687,5887,3012424,0,0,4,33,25,3,0,0,0,0,0,0,0,2,1,0,0,0,1,0.0,0.0
2402,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,1,1,6,1,7,6,7,4.090909091,6.0,3.9,0,0,0,0,0,31,0.161290323,0.838709677,1,0.0,0.0,0,1,0.0,0.0,0,0.0,0,1,0,0,71,2486,0,0,1,2,66,10,2,0,0,0,0,0,0,0,11,1,0,0,0,0,0.4393939393939394,0.1
1194,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,11,1,2,3,2,17,13,17,8.363636364,8.75,8.142857143,0,0,0,0,0,51,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0,100.0,0,1,1,0,25,3993,5707171,0,1,0,116,42,4,0,0,1,2,3,2,0,4,1,0,0,0,0,0.16379310344827586,0.0
6466,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,3,3,0,6,6,0,4.5,4.5,0.0,0,0,0,0,0,72,0.847222222,0.152777778,0,0.0,0.272727273,0,0,100.0,0.0,0,38.46153846,0,0,1,0,1170,4307,84997,0,0,3,23,14,2,0,0,0,0,0,0,0,3,1,0,0,0,1,0.0,0.0
10987,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,3,2,9,2,10,10,9,7.166666667,9.5,6.0,0,0,0,0,0,162,0.808641975,0.191358025,1,0.35483871,0.129032258,1,1,100.0,0.0,0,61.53846154,0,0,0,0,212,2344,237648,0,1,2,62,26,2,0,0,0,0,0,3,0,4,1,0,0,0,0,0.0,0.0
8089,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,3,3,3,3,0,11,11,0,6.333333333,6.333333333,0.0,0,0,0,0,0,140,0.364285714,0.635714286,0,0.04494382,0.0,1,1,100.0,0.0,0,9.574468085,0,1,1,0,3153,-1,1316824,0,0,5,34,25,2,1,0,0,0,0,0,0,3,1,0,0,0,1,0.0,0.0
2286,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,5,9,5,10,10,7,7.75,9.5,6.0,0,0,0,0,0,33,0.606060606,0.393939394,1,0.538461538,0.0,1,1,100.0,0.0,0,12.5,0,0,0,0,208,2348,242805,0,1,2,48,26,2,0,0,0,0,0,1,0,4,1,0,0,0,0,0.0,0.0
6799,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,4,3,3,4,18,18,8,7.333333333,10.5,5.75,0,0,0,0,0,62,0.693548387,0.306451613,0,0.0,0.157894737,0,0,66.66666667,33.33333333,0,50.0,0,1,1,0,255,8145,89705,0,0,5,60,26,2,1,0,0,0,0,1,0,4,1,0,0,0,0,0.0,0.0
1427,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,12,0,12,12,0,12.0,12.0,0.0,0,0,0,0,0,145,0.834482759,0.165517241,0,0.0,0.0,0,0,48.8372093,51.1627907,0,100.0,0,1,1,0,195,1997,2273893,0,0,2,23,16,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0.0,0.0
4504,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,1,2,15,2,15,15,10,6.875,15.0,5.714285714,4,0,0,0,0,15,0.6,0.4,0,0.333333333,0.0,0,1,100.0,0.0,0,0.0,0,1,1,0,1270,2381,0,0,1,2,74,19,1,1,0,0,0,0,0,0,9,1,0,0,0,0,0.0,0.0
5444,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,7,4,3,3,3,14,14,9,6.142857143,8.5,5.2,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,1,0,348,6956,4595873,0,0,5,61,22,3,0,0,0,0,0,3,0,4,1,0,0,0,0,0.0,0.0
9200,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,7,9,7,15,15,7,10.33333333,12.0,7.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,0,0,274,3378,3100263,0,1,4,45,29,2,0,0,0,0,0,0,0,3,1,0,0,0,1,0.4888888888888889,0.5172413793103449
7610,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,18,7,3,3,3,30,14,30,11.55555556,7.666666667,12.33333333,1,0,0,0,0,7,0.857142857,0.142857143,0,1.0,0.0,0,0,0.0,0.0,0,0.0,0,1,0,0,362,3,0,0,1,0,237,29,3,1,0,1,3,4,4,0,4,1,0,6,0,1,0.05485232067510549,0.0
10556,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,4,6,4,9,9,6,6.0,7.5,5.0,0,0,0,0,0,243,0.864197531,0.135802469,0,0.666666667,0.0,0,0,100.0,0.0,0,52.85714286,0,0,1,0,901,7134,13,0,0,7,46,20,2,0,0,0,0,0,1,0,4,1,0,0,0,1,0.0,0.0
7468,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,7,5,3,3,3,29,29,9,9.0,16.0,6.2,0,0,0,0,0,33,0.787878788,0.212121212,1,0.0,0.0,0,1,50.0,50.0,0,71.42857143,0,1,1,0,1547,2105,0,0,1,0,80,37,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0.0,0.0
5331,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,8,3,3,7,14,14,13,9.666666667,8.5,10.25,0,0,0,0,0,7,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,1,0,0,238,3779,0,0,1,1,75,22,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0.0,0.0
9475,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,2,1,5,1,29,6,29,7.428571429,5.5,8.2,1,0,0,0,0,10,0.0,1.0,2,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0,2975,8347,1,0,1,10,70,16,2,0,0,0,0,0,1,0,6,1,0,0,0,1,0.02857142857142857,0.0
7765,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,4,4,0,11,11,0,6.0,6.0,0.0,0,0,0,0,0,103,0.932038835,0.067961165,1,0.285714286,0.0,0,1,100.0,0.0,0,0.0,0,1,1,0,176,7128,8386524,1,1,1,46,38,2,3,0,0,0,0,0,0,3,1,0,0,0,0,0.021739130434782608,0.02631578947368421
2471,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6,6,0,6,6,0,6.0,6.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,0,0,0,5874,0,0,0,3,16,9,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0.0,0.0
11233,1,1,1,0,0,0,0,1,0,0,3,0,0,0,0,29,10,1,3,1,17,9,17,6.551724138,6.0,6.592592593,0,0,0,0,0,82,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0,100.0,0,0,0,0,1515,4329,0,0,1,2,229,17,14,0,1,1,8,3,0,0,4,1,0,8,0,0,0.21397379912663755,0.0
1190,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,2,3,2,15,15,10,6.666666667,9.0,5.5,0,0,0,0,0,129,0.255813953,0.744186047,0,0.09375,0.552083333,0,1,25.0,75.0,0,48.7804878,0,1,1,0,920,6384,37416,0,0,5,56,23,3,0,0,0,0,0,1,0,4,1,0,0,0,0,0.0,0.0
10884,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,2,2,2,9,9,6,4.6,5.5,4.0,0,0,0,0,0,2205,0.934693878,0.065306122,0,0.319444444,0.076388889,0,0,100.0,0.0,0,65.79572447,0,0,1,0,903,7132,12,0,0,7,39,16,2,0,0,1,0,1,0,0,3,1,0,0,0,1,0.0,0.0
3828,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,10,2,10,10,2,6.0,10.0,2.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,0,0,193,2729,0,0,1,0,25,14,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0.0,0.0
3438,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,7,0,3,3,3,19,19,7,6.428571429,11.0,4.6,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,1,0,0,336,1856,0,0,1,0,62,27,3,1,0,0,0,0,0,0,5,1,0,0,0,0,0.0,0.0
7694,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,10,3,2,3,2,23,23,6,5.4,13.0,3.5,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,0,0,205,4178,0,0,1,0,74,31,3,2,0,0,0,0,0,0,7,1,0,0,0,0,0.0,0.0
10691,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,12,7,3,3,4,16,16,8,6.416666667,6.125,7.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,0,0,375,8412,0,0,1,2,98,59,8,1,0,0,0,0,0,0,5,1,0,0,0,0,0.04081632653061224,0.06779661016949153
8340,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,22,3,1,8,1,11,10,11,5.863636364,9.0,5.55,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,1,0,0,357,8,0,0,1,0,162,23,1,12,0,0,1,1,0,0,10,1,0,1,0,0,0.22839506172839505,0.0
8567,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,4,4,13,13,4,13,8.5,4.0,13.0,0,0,0,0,0,6,0.5,0.5,1,0.0,0.0,0,1,0.0,0.0,0,0.0,0,1,0,0,1444,5130,16645,0,1,6,29,7,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0.1724137931034483,0.0
5601,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,6,3,13,3,32,13,32,9.0,13.0,8.0,3,0,0,0,0,2,0.0,1.0,0,0.5,0.0,0,0,0.0,0.0,0,0.0,0,1,0,0,174,1653,0,0,1,0,110,31,4,0,0,0,0,0,0,0,8,1,0,0,0,0,0.14545454545454545,0.0
10579,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,2,9,2,9,9,9,5.571428571,9.0,5.0,0,0,0,0,0,47,0.936170213,0.063829787,0,0.333333333,0.0,0,0,0.0,100.0,0,97.2972973,0,1,0,0,40,3247,436389,0,0,4,58,13,1,4,0,0,0,0,0,0,5,1,0,0,0,1,0.10344827586206896,0.0
8428,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,6,1,1,1,4,15,14,15,7.166666667,6.0,9.5,0,0,0,0,0,21,0.19047619,0.80952381,1,0.176470588,0.0,0,1,20.0,80.0,0,25.0,0,1,1,0,228,5616,0,0,1,5,59,31,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0.1694915254237288,0.3225806451612903
5946,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,10,0,3,3,3,11,3,11,5.5,3.0,5.777777778,0,0,0,0,0,8,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0,0.0,0,1,0,1,0,-1,3940522,0,1,1,78,10,4,0,1,1,0,1,0,0,6,1,0,0,0,0,0.0,0.0
4945,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,1,1,4,1,20,8,20,6.375,6.0,6.6,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,1,0,0,272,3381,0,0,1,0,69,23,2,1,0,0,0,0,0,0,8,1,0,0,0,0,0.11594202898550725,0.0
1477,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,14,3,1,3,1,7,7,7,4.0,5.0,3.833333333,0,0,0,0,0,11,0.909090909,0.090909091,0,0.0,1.0,0,0,100.0,0.0,0,0.0,0,1,0,0,0,-1,1772670,0,1,2,81,14,5,0,0,1,1,2,0,0,8,2,0,0,0,0,0.012345679012345678,0.0
3491,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,8,6,2,3,2,10,6,10,6.5,4.5,7.166666667,0,0,0,0,0,48,0.895833333,0.104166667,0,0.0,0.0,0,0,66.66666667,33.33333333,0,66.66666667,0,0,1,0,2025,4915,19217,0,0,5,70,14,2,0,0,0,0,0,4,0,4,1,0,0,0,0,0.0,0.0
1801,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,5,21,5,21,21,8,11.33333333,21.0,6.5,0,0,0,0,0,6,0.333333333,0.666666667,0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,1,0,0,217,1975,0,0,1,0,49,25,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0.0,0.0
9544,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,6,1,9,9,1,5.333333333,7.5,1.0,0,0,0,0,0,66,0.590909091,0.409090909,2,0.0,0.0,0,1,0.0,100.0,0,76.19047619,0,1,1,0,1049,5159,8007434,0,0,8,33,20,2,0,0,0,0,1,2,0,3,1,0,0,0,1,0.0,0.0
8282,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,4,0,17,17,0,10.5,10.5,0.0,0,0,0,0,0,201,0.771144279,0.228855721,3,0.043478261,0.0,0,1,63.26530612,36.73469388,0,31.57894737,0,1,1,0,215,2341,818989,0,0,4,35,26,2,0,0,0,0,0,0,0,3,1,0,0,0,1,0.0,0.0
6187,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,8,8,0,10,10,0,9.0,9.0,0.0,0,0,0,0,0,14,0.071428571,0.928571429,0,0.230769231,0.0,0,1,0.0,0.0,0,14.28571429,0,1,0,0,374,7295,0,0,1,5,32,23,2,0,0,0,0,0,0,0,3,1,0,0,0,1,0.09375,0.13043478260869565
6696,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,21,14,1,6,1,34,13,34,7.380952381,9.5,7.157894737,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,1,0,0,194,2362,173942,0,1,1,188,24,4,9,0,1,0,0,1,0,10,1,0,0,0,0,0.18617021276595744,0.08333333333333333
6491,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,2,3,2,16,15,16,7.333333333,9.0,6.5,0,0,0,0,0,313,0.060702875,0.939297125,0,0.193877551,0.095238095,1,1,6.403940887,93.59605911,0,82.0952381,0,1,1,0,1755,3358,2330327,0,0,5,60,23,3,0,0,0,0,0,0,0,5,1,0,0,0,0,0.1,0.0
7552,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,12,1,2,3,2,17,13,17,7.833333333,8.75,7.375,0,0,0,0,0,4,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,100.0,0,1,0,0,15,4003,5816617,0,1,0,120,42,4,0,0,1,2,3,2,0,5,1,0,0,0,1,0.14166666666666666,0.0
4441,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,6,2,2,3,2,15,13,15,8.666666667,8.75,8.5,0,0,0,0,0,51,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0,100.0,0,1,1,0,25,3993,5707171,0,1,0,69,42,4,0,0,0,0,0,0,0,4,1,0,0,0,1,0.08695652173913043,0.0
2121,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,8,8,0,9,9,0,8.5,8.5,0.0,0,0,0,0,0,123,0.308943089,0.691056911,5,0.294117647,0.0,0,1,0.0,100.0,0,39.68253968,0,1,1,0,371,7298,5738074,0,0,5,30,22,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0.0,0.0
6561,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,8,3,2,2,2,32,8,32,8.75,5.666666667,10.6,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,0,0,7,359,0,0,1,1,90,23,5,0,0,0,0,0,0,0,7,1,0,0,0,0,0.2111111111111111,0.043478260869565216
1988,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,1,1,8,1,11,11,11,6.615384615,9.5,6.090909091,2,0,0,0,0,280,0.992857143,0.007142857,0,1.0,0.0,0,0,100.0,0.0,0,93.10344828,0,1,0,0,318,7351,1518,0,0,5,112,24,3,0,0,0,0,0,8,0,7,1,0,0,0,0,0.11607142857142858,0.0
5831,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,3,3,0,6,6,0,4.5,4.5,0.0,0,0,0,0,0,265,0.924528302,0.075471698,0,0.4,0.0,1,1,97.05882353,2.941176471,0,10.0,0,0,0,0,0,-1,745423,0,0,4,21,13,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0.09523809523809523,0.15384615384615385
